RK,Player,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
-,Ben SimmonsLAC/BKN,PG,33,25.0,6.2,2.8,5.2,54.7,0.0,0.0,0.0,0.5,0.8,69.2,5.2,6.9,0.8,0.5,2.7,1,0
-,Jonathan MogboTOR,F,63,20.4,6.2,2.5,5.7,43.8,0.3,1.1,24.3,1.0,1.3,73.2,4.9,2.3,0.9,0.5,1.1,3,1
-,Jarace WalkerIND,F,75,15.8,6.1,2.3,4.8,47.2,1.0,2.5,40.5,0.6,0.9,66.7,3.1,1.5,0.7,0.3,1.0,0,0
-,Isaac OkoroCLE,SF,55,19.1,6.1,2.3,4.9,46.4,1.0,2.7,37.1,0.6,0.8,71.7,2.4,1.2,0.6,0.3,0.4,0,0
-,Isaiah StewartDET,C,72,19.9,6.0,2.4,4.4,55.9,0.2,0.7,32.1,0.9,1.2,75.9,5.5,1.7,0.4,1.4,0.9,2,0
-,Luke KornetBOS,C,73,18.6,6.0,2.6,3.8,66.8,0.0,0.0,0.0,0.9,1.3,69.1,5.3,1.6,0.5,1.0,0.4,3,0
-,Isaiah WongCHA,G,20,13.3,6.0,2.1,5.3,39.0,0.7,1.7,39.4,1.3,1.7,73.5,1.6,1.4,0.6,0.0,0.9,0,0
-,James WisemanIND,C,1,5.0,6.0,2.0,4.0,50.0,0.0,1.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,0,0
-,Isaiah MobleyPHI,F,1,17.0,6.0,2.0,7.0,28.6,1.0,3.0,33.3,1.0,2.0,50.0,4.0,5.0,1.0,1.0,0.0,0,0
-,Mouhamed GueyeATL,F,33,16.2,6.0,2.2,5.2,42.1,0.6,2.5,25.9,1.0,1.3,76.2,4.2,0.8,0.8,1.0,0.5,2,0
-,Simone FontecchioDET,F,75,16.5,5.9,2.0,5.0,40.2,1.0,3.0,33.5,0.9,1.1,83.3,2.9,0.9,0.4,0.2,0.7,0,0
-,Cole SwiderTOR/DET,F,10,17.0,5.9,2.2,6.3,34.9,1.5,4.7,31.9,0.0,0.1,0.0,2.7,0.3,0.4,0.2,0.4,0,0
-,Chuma OkekeCLE/PHI,PF,9,21.9,5.9,2.2,4.4,50.0,1.2,3.1,39.3,0.2,0.3,66.7,5.2,1.7,0.6,0.4,0.3,1,0
-,Tidjane SalaunCHA,F,60,20.7,5.9,1.9,5.8,33.0,1.0,3.4,28.3,1.1,1.6,71.3,4.7,1.2,0.5,0.2,1.0,2,0
-,Adem BonaPHI,C,58,15.6,5.8,2.3,3.3,70.3,0.0,0.0,0.0,1.2,1.7,67.0,4.2,0.5,0.4,1.2,1.1,3,0
-,Quenton JacksonIND,G,28,13.6,5.8,2.1,4.4,47.5,0.5,1.4,37.5,1.1,1.4,77.5,1.6,1.9,0.8,0.2,0.6,0,0
-,Dariq WhiteheadBKN,F,20,12.3,5.7,2.0,4.8,40.6,1.7,3.7,44.6,0.2,0.3,60.0,1.5,0.6,0.3,0.1,0.8,0,0
-,Moussa DiabateCHA,F,71,17.5,5.7,2.4,3.9,59.6,0.0,0.1,0.0,1.0,1.6,59.5,6.2,0.8,0.6,0.6,0.9,7,0
-,Dean WadeCLE,PF,59,21.2,5.4,1.9,4.6,41.3,1.4,3.8,36.0,0.3,0.5,53.3,4.2,1.3,0.7,0.3,0.4,1,0
-,Keaton WallaceATL,G,31,16.2,5.4,2.1,5.2,40.1,0.9,2.6,32.9,0.4,0.4,100.0,1.6,2.6,0.9,0.3,1.1,1,1
-,Jonathan IsaacORL,PF,71,15.4,5.4,1.9,4.6,41.4,0.5,2.1,25.8,1.0,1.5,68.2,4.4,0.6,0.9,1.1,0.5,2,0
-,Maxwell LewisLAL/BKN,F,21,14.2,5.3,2.0,4.9,42.2,0.9,2.4,38.0,0.3,0.5,70.0,2.5,0.8,0.4,0.3,0.6,0,0
-,Kevin LoveMIA,PF,23,10.9,5.3,1.8,5.0,35.7,1.0,2.9,35.8,0.7,1.0,69.6,4.1,1.0,0.7,0.2,0.6,0,0
-,Kobe BufkinATL,G,10,12.4,5.3,1.8,4.7,38.3,0.4,1.9,21.1,1.3,1.8,72.2,2.1,1.7,0.3,0.2,0.8,0,0
-,Alex ReeseOKC/PHI,F,14,15.3,5.3,1.8,3.8,47.2,1.1,2.9,36.6,0.6,0.9,75.0,3.3,0.3,0.7,0.7,0.4,0,0
-,Ben SheppardIND,G,63,19.5,5.3,1.9,4.6,41.8,1.1,3.2,34.2,0.4,0.4,88.9,2.8,1.3,0.6,0.2,0.3,0,0
-,Pat ConnaughtonMIL,SG,41,14.7,5.3,2.0,4.3,46.9,0.6,2.0,32.1,0.6,0.8,77.4,2.7,1.7,0.2,0.3,0.6,1,0
